start: dial is at 50, ans = 0
line: L1, dial: 49, ans: 0
line: L8, dial: 41, ans: 0
line: R35, dial: 76, ans: 0
line: L50, dial: 26, ans: 0
line: R12, dial: 38, ans: 0
line: R34, dial: 72, ans: 0
line: L25, dial: 47, ans: 0
line: R37, dial: 84, ans: 0
line: L29, dial: 55, ans: 0
line: L16, dial: 39, ans: 0
line: R48, dial: 87, ans: 0
line: R43, dial: 30, ans: 1
line: L5, dial: 25, ans: 1
line: L16, dial: 9, ans: 1
line: L23, dial: 86, ans: 2
line: L1, dial: 85, ans: 2
line: L46, dial: 39, ans: 2
line: R40, dial: 79, ans: 2
line: L47, dial: 32, ans: 2
line: L34, dial: 98, ans: 3
line: L21, dial: 77, ans: 3
line: R36, dial: 13, ans: 4
line: R48, dial: 61, ans: 4
line: L19, dial: 42, ans: 4
line: L12, dial: 30, ans: 4
line: L50, dial: 80, ans: 5
line: L15, dial: 65, ans: 5
line: L30, dial: 35, ans: 5
line: R10, dial: 45, ans: 5
line: L30, dial: 15, ans: 5
line: R6, dial: 21, ans: 5
line: L9, dial: 12, ans: 5
line: L15, dial: 97, ans: 6
line: L14, dial: 83, ans: 6
line: L22, dial: 61, ans: 6
line: L35, dial: 26, ans: 6
line: R28, dial: 54, ans: 6
line: L46, dial: 8, ans: 6
line: R2, dial: 10, ans: 6
line: L22, dial: 88, ans: 7
line: L34, dial: 54, ans: 7
line: R8, dial: 62, ans: 7
line: L20, dial: 42, ans: 7
line: R15, dial: 57, ans: 7
line: L23, dial: 34, ans: 7
line: L46, dial: 88, ans: 8
line: R12, dial: 0, ans: 9
line: R2, dial: 2, ans: 9
line: L43, dial: 59, ans: 10
line: L59, dial: 0, ans: 10
line: L82, dial: 18, ans: 11
line: L18, dial: 0, ans: 11
line: L42, dial: 58, ans: 12
line: L17, dial: 41, ans: 12
line: L81, dial: 60, ans: 13
line: L69, dial: 91, ans: 14
line: R20, dial: 11, ans: 15
line: R61, dial: 72, ans: 15
line: L72, dial: 0, ans: 15
line: R27, dial: 27, ans: 15
line: R5, dial: 32, ans: 15
line: L28, dial: 4, ans: 15
line: R95, dial: 99, ans: 15
line: R1, dial: 0, ans: 16
line: L63, dial: 37, ans: 17
line: R63, dial: 0, ans: 18
line: R10, dial: 10, ans: 18
line: L10, dial: 0, ans: 18
line: L30, dial: 70, ans: 19
line: L78, dial: 92, ans: 20
line: R5, dial: 97, ans: 20
line: R46, dial: 43, ans: 21
line: R15, dial: 58, ans: 21
line: R64, dial: 22, ans: 22
line: L93, dial: 29, ans: 23
line: R97, dial: 26, ans: 24
line: R3, dial: 29, ans: 24
line: R71, dial: 0, ans: 25
line: R17, dial: 17, ans: 25
line: R54, dial: 71, ans: 25
line: L13, dial: 58, ans: 25
line: L58, dial: 0, ans: 25
line: R66, dial: 66, ans: 25
line: R87, dial: 53, ans: 26
line: L23, dial: 30, ans: 26
line: R67, dial: 97, ans: 26
line: L97, dial: 0, ans: 26
line: R51, dial: 51, ans: 26
line: L64, dial: 87, ans: 27
line: R62, dial: 49, ans: 28
line: R5, dial: 54, ans: 28
line: R89, dial: 43, ans: 29
line: L43, dial: 0, ans: 29
line: L82, dial: 18, ans: 30
line: L52, dial: 66, ans: 31
line: R22, dial: 88, ans: 31
line: L88, dial: 0, ans: 31
line: L55, dial: 45, ans: 32
line: R71, dial: 16, ans: 33
line: R88, dial: 4, ans: 34
line: L58, dial: 46, ans: 35
line: L5, dial: 41, ans: 35
line: L62, dial: 79, ans: 36
line: R29, dial: 8, ans: 37
line: L465, dial: 43, ans: 42
line: L420, dial: 23, ans: 46
line: R602, dial: 25, ans: 52
line: L550, dial: 75, ans: 58
line: R56, dial: 31, ans: 59
line: L63, dial: 68, ans: 60
line: R90, dial: 58, ans: 61
line: L58, dial: 0, ans: 61
line: L238, dial: 62, ans: 64
line: L62, dial: 0, ans: 64
line: L67, dial: 33, ans: 65
line: R21, dial: 54, ans: 65
line: L11, dial: 43, ans: 65
line: L61, dial: 82, ans: 66
line: R18, dial: 0, ans: 67
line: R25, dial: 25, ans: 67
line: R249, dial: 74, ans: 69
line: R726, dial: 0, ans: 77
line: L68, dial: 32, ans: 78
line: L754, dial: 78, ans: 86
line: L507, dial: 71, ans: 91
line: L44, dial: 27, ans: 91
line: R73, dial: 0, ans: 92
line: R30, dial: 30, ans: 92
line: L30, dial: 0, ans: 92
line: R52, dial: 52, ans: 92
line: R4, dial: 56, ans: 92
line: R41, dial: 97, ans: 92
line: R83, dial: 80, ans: 93
line: L80, dial: 0, ans: 93
line: R11, dial: 11, ans: 93
line: L62, dial: 49, ans: 94
line: L49, dial: 0, ans: 94
line: R60, dial: 60, ans: 94
line: L464, dial: 96, ans: 99
line: L46, dial: 50, ans: 99
line: R30, dial: 80, ans: 99
line: L75, dial: 5, ans: 99
line: R375, dial: 80, ans: 102
line: L80, dial: 0, ans: 102
line: R60, dial: 60, ans: 102
line: R770, dial: 30, ans: 110
line: L30, dial: 0, ans: 110
line: R63, dial: 63, ans: 110
line: L63, dial: 0, ans: 110
line: R98, dial: 98, ans: 110
line: L98, dial: 0, ans: 110
line: L52, dial: 48, ans: 111
line: R90, dial: 38, ans: 112
line: R7, dial: 45, ans: 112
line: L95, dial: 50, ans: 113
line: L15, dial: 35, ans: 113
line: L93, dial: 42, ans: 114
line: L659, dial: 83, ans: 121
line: R17, dial: 0, ans: 122
line: L689, dial: 11, ans: 129
line: L56, dial: 55, ans: 130
line: R45, dial: 0, ans: 131
line: R87, dial: 87, ans: 131
line: R3, dial: 90, ans: 131
line: R10, dial: 0, ans: 132
line: R667, dial: 67, ans: 138
line: R81, dial: 48, ans: 139
line: R5, dial: 53, ans: 139
line: R47, dial: 0, ans: 140
line: R29, dial: 29, ans: 140
line: R571, dial: 0, ans: 146
line: R658, dial: 58, ans: 152
line: R695, dial: 53, ans: 159
line: L30, dial: 23, ans: 159
line: L23, dial: 0, ans: 159
line: L30, dial: 70, ans: 160
line: R264, dial: 34, ans: 163
line: L91, dial: 43, ans: 164
line: R57, dial: 0, ans: 165
line: L51, dial: 49, ans: 166
line: L49, dial: 0, ans: 166
line: L97, dial: 3, ans: 167
line: R715, dial: 18, ans: 174
